title,pdf_link
"Payscales for MOD Police constables, sergeants and inspectors",https://assets.publishing.service.gov.uk/media/5a80f3eeed915d74e623160c/20151214_REDACTED_Reply_eCase_11232-15_Re_MDP_Constable_Sergeant_Inspector_pay_scales.pdf
"Attachment: MOD Police constables, sergeants and inspectors pay scales",https://assets.publishing.service.gov.uk/media/5a800eeee5274a2e8ab4def0/20151214_Annex_A_to_reply_to_eCase_11232-15.pdf
Number of sick days taken by MOD Police officers 2013/14 to 2014/15,https://assets.publishing.service.gov.uk/media/5a7f6144e5274a2e8ab4bd44/20151202_REDACTED_Reply_eCase_09715-15_Re_Number_of_sick_days_for_MDP_Officers.pdf
Copy of the Gurkha offer to transfer (GOTT) policy instruction ,https://assets.publishing.service.gov.uk/media/5a7f56fbe5274a2e8ab4b952/20151207-FOI2015_10105-Gurkha_Pensions-Redacted.pdf
Attachment: Pensions policy instruction for pensions offer to transfer to serving and retired Gurkhas,https://assets.publishing.service.gov.uk/media/5a800d0940f0b62305b88e12/20090727-Pensions_Policy_Instruction_final-Redacted.pdf
Total number of armed and unarmed Reaper missions in Syria and Iraq from 8 October 2014,https://assets.publishing.service.gov.uk/media/5a804cb9e5274a2e8ab4f5a7/201501215-FOI2015_10495_Reaper_missions_Iraq_Syria-CORRECTED.pdf
Number of in service UK armed forces deaths by Cancer type 1984 to 2014. Number of UK armed forces personnel that have had a clinical code entered into their primary care record relating to 'neoplasms' January 2007 to October 2015,https://assets.publishing.service.gov.uk/media/5a7f277eed915d74e33f4ab5/PUBLIC_1450276904.pdf
"Cost for MOD cars with police markings broken down for MOD Police, Royal Military Police, RAF Provost and Security Services and the navy equivalent",https://assets.publishing.service.gov.uk/media/5a7f9243ed915d74e33f7412/20151217-FOI2015_10843_police_cars_spend_publish-O.pdf
Cost of MOD Senior Civil Service Conference on 3 November 2015 at 8 Northumberland Avenue,https://assets.publishing.service.gov.uk/media/5a80a790ed915d74e33fba7e/20151217_FOI2015_11373.pdf
List of MOD 'A' (armoured) vehicles and associated material asset codes,https://assets.publishing.service.gov.uk/media/5a8091baed915d74e622f353/Scan_Vehicle_Codes_Redacted.pdf
Attachment: List of 'A' vehicles and associated material asset codes,https://assets.publishing.service.gov.uk/media/5a7f455e40f0b6230268e7c5/20151217-Vehicles.pdf
RAF Regiment No.2 Squadron conducts the RAF Pre-Parachute selection course,https://assets.publishing.service.gov.uk/media/5a819b42ed915d74e62332bf/20151214-FOI-Parachute-Training-O.pdf
The 'Family Test' as part of MOD's policy making process,https://assets.publishing.service.gov.uk/media/5a80bbbeed915d74e623022f/20151216-FOI2015_10510-Family_Test-redacted.pdf
Reduction of the the Military Provost Guard Service to be considered by MOD,https://assets.publishing.service.gov.uk/media/5a803403e5274a2e8ab4ec93/20151217-FOI_MPGS_Reductions_Redacted.pdf
Copy of reports regarding works carried out at a DIO residential property 5 April to 1 August 2015,https://assets.publishing.service.gov.uk/media/5a74900a40f0b616bcb177c5/20151119-FOI09462.pdf
Sweets Way properties leasehold interest,https://assets.publishing.service.gov.uk/media/5a7f3855e5274a2e87db4870/20151119-FOI09567.pdf
Build date of MOD housing properties contstructed in Plymouth since 1900,https://assets.publishing.service.gov.uk/media/5a7f3c6740f0b62305b85e98/20151119-FOI09621.pdf
Number of MOD properties loft insulated to 270 millimetres with a postcode CT21 6QS,https://assets.publishing.service.gov.uk/media/5a815793e5274a2e87dbd1b9/20151120-FOI09924.pdf
"Electricty meter readings for MOD property Alte Brennerei 8, Hutshenhausen, Germany July 2010 to September 2015",https://assets.publishing.service.gov.uk/media/5a8064f3ed915d74e622e33d/20151120-FOI09942.pdf
Number of MOD civilian staff suspended from work for disciplinary reasons 2012 to 2015,https://assets.publishing.service.gov.uk/media/5a814ddc40f0b62302696942/20151126-Number_civilian_staff_suspended_for_disciplinary_reasons_2012-15.pdf
Number of UK quick response alerts to Russian long range aviation 1 January to 1 November 2015,https://assets.publishing.service.gov.uk/media/5a7f784e40f0b6230268faff/20151123-RAF_QRA_Launches_January_to_October_2015.pdf
